Name,Location,Number,R,N_R,Y1
Arrowlord ,Lower_Left ,1,0.117,1,1.0013
Arrowlord ,Lower_Left ,1,2.117,4,3.9323
Arrowlord ,Lower_Left ,1,4.117,6,6.54
Arrowlord ,Lower_Left ,1,6.117,9,7.2197
Arrowlord ,Lower_Left ,1,8.117,6,8.5591
Arrowlord ,Lower_Left ,1,10.117,10,9.6076
Arrowlord ,Lower_Left ,1,12.117,13,10.3088
Arrowlord ,Lower_Left ,1,14.117,11,11.5843
Arrowlord ,Lower_Left ,1,16.117,10,13.8103
Arrowlord ,Lower_Left ,1,18.117,18,16.3544
Arrowlord ,Lower_Left ,1,20.117,20,18.2192
Arrowlord ,Lower_Left ,1,22.117,20,18.811
Arrowlord ,Lower_Left ,1,24.117,16,18.1836
Arrowlord ,Lower_Left ,1,26.117,17,16.7662
Arrowlord ,Lower_Left ,1,28.117,12,14.947
Arrowlord ,Lower_Left ,1,30.117,15,12.8518
Arrowlord ,Lower_Left ,1,32.117,13,10.4145
Arrowlord ,Lower_Left ,1,34.117,8,7.6089
Arrowlord ,Lower_Left ,1,36.117,2,4.6359
Arrowlord ,Lower_Left ,1,38.117,1,1.9264
Arrowlord ,Lower_Left ,1,40.117,0,-0.0381
Arrowlord ,Lower_Left ,1,42.117,0,-0.9687
Arrowlord ,Lower_Left ,1,44.117,0,-0.9262
Arrowlord ,Lower_Left ,1,46.117,0,-0.3
Arrowlord ,Lower_Left ,1,48.117,0,0.3794
Arrowlord ,Lower_Left ,1,50.117,0,0.6927
Arrowlord ,Lower_Left ,1,52.117,0,0.5133
Arrowlord ,Lower_Left ,1,54.117,0,0.0259
Arrowlord ,Lower_Left ,1,56.117,0,-0.4207
Arrowlord ,Lower_Left ,1,58.117,0,-0.5395
Arrowlord ,Lower_Left ,1,60.117,0,-0.2788
Arrowlord ,Lower_Left ,1,62.117,0,0.1569
Arrowlord ,Lower_Left ,1,64.117,0,0.4508
Arrowlord ,Lower_Left ,1,66.117,0,0.394
Arrowlord ,Lower_Left ,1,68.117,0,0.0376
Arrowlord ,Lower_Left ,1,70.117,0,-0.3355
Arrowlord ,Lower_Left ,1,72.117,0,-0.4188
Arrowlord ,Lower_Left ,1,74.117,0,-0.1338
Arrowlord ,Lower_Left ,1,76.117,0,0.2727
Arrowlord ,Lower_Left ,1,78.117,0,0.4114
Arrowlord ,Lower_Left ,1,80.117,0,0.1167
